open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678933980000,24405.40000000,24405.40000000,24391.66383315,24400.94276497,0,1678934039999,0,60,0,0,0
1678934040000,24400.64981099,24400.64981099,24374.39875454,24380.94134136,0,1678934099999,0,60,0,0,0
1678934100000,24383.29772188,24395.21353254,24379,24395.21353254,0,1678934159999,0,60,0,0,0
1678934160000,24395.72001258,24397.92970320,24383.88796414,24386.32649595,0,1678934219999,0,60,0,0,0
1678934220000,24386.10000000,24389.61658168,24379.62278145,24389.61658168,0,1678934279999,0,60,0,0,0
1678934280000,24390.18191639,24394.95014589,24388.55236708,24393.23231746,0,1678934339999,0,60,0,0,0
1678934340000,24393.07230009,24409.40000000,24392.31788908,24409.40000000,0,1678934399999,0,60,0,0,0
1678934400000,24409.30000000,24411.30000000,24385.40000000,24392.30898646,0,1678934459999,0,60,0,0,0
1678934460000,24394.77444035,24408.33665469,24394.77444035,24406.89079464,0,1678934519999,0,60,0,0,0
1678934520000,24406.89079464,24408.78285115,24389.70000000,24397,0,1678934579999,0,60,0,0,0
1678934580000,24396.85380590,24403.40000000,24382.70057186,24384.77613674,0,1678934639999,0,60,0,0,0
1678934640000,24383.80000000,24399.27601582,24383.80000000,24395.40000000,0,1678934699999,0,60,0,0,0
1678934700000,24396.80000000,24401.40000000,24388,24395.50000000,0,1678934759999,0,59,0,0,0
1678934760000,24394.40100354,24400.40000000,24389.10000000,24391.48772751,0,1678934819999,0,60,0,0,0
1678934820000,24391.68313803,24401.73493704,24391.12695853,24397.83377096,0,1678934879999,0,60,0,0,0
1678934880000,24398.26720482,24401.71654524,24390.85192922,24393.10063847,0,1678934939999,0,60,0,0,0
1678934940000,24394.30000000,24398.69085194,24386.02689044,24393.10287677,0,1678934999999,0,60,0,0,0
1678935000000,24392.78561993,24399.32043202,24391.94540794,24391.94540794,0,1678935059999,0,60,0,0,0
1678935060000,24391.70000000,24394.06798873,24387.30000000,24391.91709819,0,1678935119999,0,60,0,0,0
1678935120000,24391.93561406,24392.70014076,24382.80000000,24390.87772114,0,1678935179999,0,60,0,0,0
1678935180000,24391.37395951,24400.10122798,24391.12167663,24399.17131420,0,1678935239999,0,60,0,0,0
1678935240000,24399.17131420,24403.11702340,24390.70000000,24401.72959814,0,1678935299999,0,60,0,0,0
1678935300000,24401.93568817,24408.19596498,24388.15537374,24391.30000000,0,1678935359999,0,60,0,0,0
1678935360000,24391.20000000,24394.37362538,24381.09299690,24388.22267531,0,1678935419999,0,60,0,0,0
1678935420000,24388.38526848,24389.10000000,24383.10000000,24383.10000000,0,1678935479999,0,60,0,0,0
1678935480000,24383.20000000,24383.20000000,24371.27211743,24371.48098506,0,1678935539999,0,60,0,0,0
1678935540000,24371.12114637,24377.83852375,24366.67895999,24370.84444226,0,1678935599999,0,60,0,0,0
1678935600000,24365.50000000,24374.67349237,24363.43819852,24374.64676774,0,1678935659999,0,60,0,0,0
1678935660000,24374.71529746,24379.75007965,24374.60000000,24378.98837985,0,1678935719999,0,60,0,0,0
1678935720000,24378.58287716,24382.81010681,24371.44753670,24371.44753670,0,1678935779999,0,60,0,0,0
1678935780000,24371.45369480,24371.45369480,24356.17473858,24357.19336352,0,1678935839999,0,60,0,0,0
1678935840000,24358.10000000,24360.26473949,24337.30000000,24341.20000000,0,1678935899999,0,60,0,0,0
1678935900000,24341.30000000,24341.30000000,24314.51439089,24328.51951894,0,1678935959999,0,60,0,0,0
1678935960000,24329.87519549,24332.47460429,24320.21372838,24322.35894401,0,1678936019999,0,60,0,0,0
1678936020000,24319.67410046,24337.43039348,24303.92011994,24335.96599929,0,1678936079999,0,60,0,0,0
1678936080000,24335.05883945,24345.57836318,24333.60478088,24345.57836318,0,1678936139999,0,60,0,0,0
1678936140000,24345.72890082,24347.89638639,24339.30000000,24341.14393473,0,1678936199999,0,60,0,0,0
1678936200000,24340.93618498,24341.80000000,24319.02982427,24319.75102389,0,1678936259999,0,60,0,0,0
1678936260000,24320.86568980,24321.32214305,24273.63976100,24282.40000000,0,1678936319999,0,60,0,0,0
1678936320000,24279.70968971,24287.10000000,24265.43305931,24286.32471427,0,1678936379999,0,60,0,0,0
1678936380000,24286.40000000,24286.51377341,24263.60000000,24268.17201951,0,1678936439999,0,60,0,0,0
1678936440000,24268.38062166,24275.73817919,24252.83590852,24257.88958100,0,1678936499999,0,60,0,0,0
1678936500000,24257.88958100,24279.95891055,24253.80000000,24279.95891055,0,1678936559999,0,60,0,0,0
1678936560000,24279.97396431,24288.61196065,24276.70000000,24285.98903188,0,1678936619999,0,60,0,0,0
1678936620000,24288.34594843,24290.30000000,24270.89492879,24272.80000000,0,1678936679999,0,60,0,0,0
1678936680000,24272.90000000,24283.50000000,24271.20964835,24283.43119637,0,1678936739999,0,60,0,0,0
1678936740000,24282.54052164,24294.84821956,24282.54052164,24289.08501222,0,1678936799999,0,60,0,0,0
1678936800000,24289.08501222,24303.61466823,24289.08501222,24301.57750461,0,1678936859999,0,60,0,0,0
1678936860000,24302.27841279,24312.43987393,24300.75837664,24305.30000000,0,1678936919999,0,60,0,0,0
1678936920000,24305.20000000,24309.09039707,24301.38924641,24307.70000000,0,1678936979999,0,60,0,0,0
1678936980000,24307.60000000,24321.65697618,24307.60000000,24311.69824939,0,1678937039999,0,60,0,0,0
1678937040000,24311.87476369,24317.60044120,24308,24308,0,1678937099999,0,60,0,0,0
1678937100000,24308.10000000,24312.60000000,24296.07868608,24297.90000000,0,1678937159999,0,60,0,0,0
1678937160000,24297.90000000,24302.50921690,24285.80000000,24285.90000000,0,1678937219999,0,60,0,0,0
1678937220000,24285.80000000,24287.89337582,24274.21994747,24274.89994146,0,1678937279999,0,60,0,0,0
